created_on,operation,property_type,place_name,place_with_parent_names,geonames_id,lat-lon,lat,lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_in_m2,price_usd_per_m2,floor,rooms,expenses,properati_url,image_thumbnail
2012-08-08,rent,house,Pilar,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|Pilar|,,"","","",,"","","",500,,,3,,http://www.properati.com.ar/y0_alquiler_casa_pilar__,http://cf-thumbs.properati.com.ar/sNbIJ8COmsjpk0w6YshbScipF9w=/198x0/smart/www.amaira.com%2Fbuscador%2Fimagenes%2FAMP%2FAM3931_2.jpg
2012-09-19,rent,house,Pilar,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|Pilar|,,"","","",2200.0,USD,11765.58,2200.0,250,8.8,,,,http://www.properati.com.ar/u86_alquiler_casa_pilar__,http://cf-thumbs.properati.com.ar/V9OB3mZ5LntHpdPOWlCtKpYDAvA=/198x0/smart/www.amaira.com%2Fbuscador%2Fimagenes%2FAMP%2FAM31190_2.jpg
2012-09-19,rent,apartment,Palermo Chico,|Argentina|Capital Federal|Palermo|Palermo Chico|,,"","","",6000.0,USD,32087.96,6000.0,540,11.11111111111111,,4,,http://www.properati.com.ar/umj_alquiler_departamento_palermo-chico__,http://cf-thumbs.properati.com.ar/bx1tPvnV3KoU-YomDXheMjrteds=/198x0/smart/www.amaira.com%2Fbuscador%2Fimagenes%2FLCA%2FLCA311_2.jpg
2012-09-22,rent,apartment,Palermo Chico,|Argentina|Capital Federal|Palermo|Palermo Chico|,,"-34.580835,-58.398076",-34.580835,-58.398076,20000.0,ARS,19999.94,3739.71,198,18.887424242424242,1,5,,http://www.properati.com.ar/vno_alquiler_departamento_palermo-chico_figueroa-alcorta-pres-av-_3000,http://cf-thumbs.properati.com.ar/8f2_NAqxagNyWEIg1bJyXsyp0g8=/198x0/smart/www.amaira.com%2Fbuscador%2Fimagenes%2FLCA%2FLCA320_2.jpg
2012-09-27,rent,apartment,Palermo,|Argentina|Capital Federal|Palermo|,3430234,"-34.576888,-58.423476",-34.576888,-58.423476,12000.0,ARS,11999.98,2243.83,120,18.698583333333332,9,4,2500,http://www.properati.com.ar/w7u_alquiler_departamento_palermo_juncal_4600,http://cf-thumbs.properati.com.ar/4ZfJoQoOE9cCvtGFgVsP3omFdME=/198x0/smart/www.amaira.com%2Fbuscador%2Fimagenes%2FLCA%2FLCA324_2.jpg
2012-10-08,rent,house,Luján,|Argentina|Buenos Aires Interior|Luján|Luján|,3430982,"-34.484812,-59.069101",-34.484812,-59.069101,16000.0,ARS,15999.96,2991.77,,,,,,http://www.properati.com.ar/12io_alquiler_casa_lujan_buenos-aires-100_,http://cf-thumbs.properati.com.ar/0xE7VT1nKZh-0-XVb2QVi17SgR0=/198x0/smart/www.amaira.com%2Fbuscador%2Fimagenes%2FSIR%2FSIR213_2.jpg
2012-10-10,rent,apartment,Puerto Madero,|Argentina|Capital Federal|Puerto Madero|,3429760,"-34.609439,-58.362846",-34.609439,-58.362846,25000.0,ARS,24999.94,4674.64,200,23.3732,14,4,,http://www.properati.com.ar/13kc_alquiler_departamento_puerto-madero__,http://cf-thumbs.properati.com.ar/Fc_iNrkXS4T8m3xS67GEKfqq1qs=/198x0/smart/www.amaira.com%2Fbuscador%2Fimagenes%2FLCA%2FLCA331_2.jpg
2012-10-10,rent,apartment,Belgrano,|Argentina|Capital Federal|Belgrano|,3436077,"-34.572252,-58.440719",-34.572252,-58.440719,3600.0,ARS,3599.94,673.14,70,9.616285714285715,1,1,790,http://www.properati.com.ar/140x_alquiler_departamento_belgrano_cabildo-av-_400,http://cf-thumbs.properati.com.ar/arq5w4lH9_2CAjS0pRUraHzypXc=/198x0/smart/www.amaira.com%2Fbuscador%2Fimagenes%2FCA5%2FCA51104_2.jpg
2012-10-10,rent,house,Tigre,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Tigre|,,"","","",22000.0,ARS,21999.98,4113.69,350,11.7534,,,,http://www.properati.com.ar/148s_alquiler_casa_tigre__,http://cf-thumbs.properati.com.ar/bZgan99QYeJzu_D9o6vL59EX7Xw=/198x0/smart/www.amaira.com%2Fbuscador%2Fimagenes%2FAMP%2FAM2589_2.jpg
2012-10-10,rent,house,Palermo Hollywood,|Argentina|Capital Federal|Palermo|Palermo Hollywood|,,"-34.579306,-58.434735",-34.579306,-58.434735,15000.0,ARS,14999.94,2804.78,195,14.383487179487181,,,,http://www.properati.com.ar/14cc_alquiler_casa_palermo-hollywood_carranza-angel-justiniano_2100,http://cf-thumbs.properati.com.ar/8E7KGP_Fh_N1rYn40os4ccLwMV4=/198x0/smart/www.amaira.com%2Fbuscador%2Fimagenes%2FCAZ%2FCAZ688_2.jpg
2012-10-10,rent,house,Pilar,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|Pilar|,,"-34.454613,-58.963909",-34.454613,-58.963909,4500.0,USD,24065.97,4500.0,490,9.183673469387756,,3,,http://www.properati.com.ar/14fk_alquiler_casa_pilar_bahia-blanca_,http://cf-thumbs.properati.com.ar/GH__b43yQLP9piG4JxR5YO2P--A=/198x0/smart/www.amaira.com%2Fbuscador%2Fimagenes%2FAMP%2FAM3786_2.jpg
2012-10-10,rent,house,Pilar,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|Pilar|,,"","","",4000.0,USD,21391.97,4000.0,500,8.0,,4,,http://www.properati.com.ar/14fl_alquiler_casa_pilar__,http://cf-thumbs.properati.com.ar/Scn-kYfewKjFV6zGwRqy261gRxI=/198x0/smart/www.amaira.com%2Fbuscador%2Fimagenes%2FAMP%2FAM3784_2.jpg
2012-10-10,rent,apartment,Tigre,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Tigre|,,"","","",,"","","",100,,1,,,http://www.properati.com.ar/14w6_alquiler_departamento_tigre_av-nordelta_,http://cf-thumbs.properati.com.ar/0GG7yiAdmRuMXvGyT2tfPasd6Y8=/198x0/smart/www.amaira.com%2Fbuscador%2Fimagenes%2FDEG%2FDEG333_2.jpg
2012-10-10,rent,apartment,Palermo,|Argentina|Capital Federal|Palermo|,3430234,"-34.585293,-58.418672",-34.585293,-58.418672,23500.0,ARS,23499.99,4394.17,280,15.693464285714287,7,5,3000,http://www.properati.com.ar/1690_alquiler_departamento_palermo_malabia_2400,http://cf-thumbs.properati.com.ar/4CJwRhVQJC47eO45iLD_xrI4QiQ=/198x0/smart/www.amaira.com%2Fbuscador%2Fimagenes%2FLCA%2FLCA303_2.jpg
2012-10-10,rent,apartment,Las Cañitas,|Argentina|Capital Federal|Las Cañitas|,,"-34.56511,-58.434415",-34.56511,-58.434415,5500.0,USD,29413.96,5500.0,200,27.5,1,4,,http://www.properati.com.ar/1771_alquiler_departamento_las-canitas_del-libertador-av-_4800,http://cf-thumbs.properati.com.ar/MAVSHDfLz18hAdcUE7kWIe_k_xc=/198x0/smart/www.amaira.com%2Fbuscador%2Fimagenes%2FLCA%2FLCA210_2.jpg
2012-10-10,rent,apartment,Palermo,|Argentina|Capital Federal|Palermo|,3430234,"-34.56511,-58.434415",-34.56511,-58.434415,38000.0,ARS,37999.95,7105.46,190,37.39715789473684,19,4,,http://www.properati.com.ar/177b_alquiler_departamento_palermo_del-libertador-av-_4800,http://cf-thumbs.properati.com.ar/FYvFcjmIDusa2k_1WDAsLvDkWmo=/198x0/smart/www.amaira.com%2Fbuscador%2Fimagenes%2FLCA%2FLCA194_2.jpg
2012-10-10,rent,apartment,Palermo,|Argentina|Capital Federal|Palermo|,3430234,"-34.576888,-58.423476",-34.576888,-58.423476,15000.0,ARS,14999.94,2804.78,120,23.37316666666667,5,3,,http://www.properati.com.ar/177e_alquiler_departamento_palermo_juncal_4600,http://cf-thumbs.properati.com.ar/sBNa5kErM3J_yB2WBl2cGKFUgAc=/198x0/smart/www.amaira.com%2Fbuscador%2Fimagenes%2FLCA%2FLCA179_2.jpg
2012-10-10,rent,apartment,Palermo Hollywood,|Argentina|Capital Federal|Palermo|Palermo Hollywood|,,"-34.582473,-58.432722",-34.582473,-58.432722,2300.0,USD,12300.38,2300.0,85,27.058823529411764,25,3,,http://www.properati.com.ar/177g_alquiler_departamento_palermo-hollywood_humboldt_2000,http://cf-thumbs.properati.com.ar/GYxEIqagVgqbZCJ2foT_gfOaV88=/198x0/smart/www.amaira.com%2Fbuscador%2Fimagenes%2FLCA%2FLCA191_2.jpg
2012-10-10,rent,apartment,Palermo,|Argentina|Capital Federal|Palermo|,3430234,"-34.575551,-58.422419",-34.575551,-58.422419,6500.0,USD,34761.96,6500.0,300,21.666666666666668,27,5,5200,http://www.properati.com.ar/177i_alquiler_departamento_palermo_godoy-cruz_3000,http://cf-thumbs.properati.com.ar/MFAbpONpVhI7ifmSktVq6KBu4SA=/198x0/smart/www.amaira.com%2Fbuscador%2Fimagenes%2FLCA%2FLCA188_2.jpg
2012-10-10,rent,apartment,Palermo,|Argentina|Capital Federal|Palermo|,3430234,"-34.587595,-58.40918",-34.587595,-58.40918,6500.0,USD,34761.96,6500.0,259,25.096525096525095,19,5,,http://www.properati.com.ar/177k_alquiler_departamento_palermo_diaz-cnel-av-_2100,http://cf-thumbs.properati.com.ar/igXuROUrKhzqStWLmWE9KIhIXjI=/198x0/smart/www.amaira.com%2Fbuscador%2Fimagenes%2FLCA%2FLCA168_2.jpg
2012-10-10,rent,apartment,Palermo Chico,|Argentina|Capital Federal|Palermo|Palermo Chico|,,"-34.577764,-58.403441",-34.577764,-58.403441,26000.0,ARS,25999.96,4861.63,255,19.06521568627451,4,4,,http://www.properati.com.ar/177p_alquiler_departamento_palermo-chico_figueroa-alcorta-pres-av-_3400,http://cf-thumbs.properati.com.ar/75ldVRu6JCe4OpwbHhGwgizp6io=/198x0/smart/www.amaira.com%2Fbuscador%2Fimagenes%2FLCA%2FLCA157_2.jpg
2012-10-10,rent,apartment,Recoleta,|Argentina|Capital Federal|Recoleta|,3429595,"-34.592715,-58.392958",-34.592715,-58.392958,5500.0,ARS,5499.98,1028.42,60,17.140333333333334,11,2,$ 1475 c/cable y agu,http://www.properati.com.ar/17gm_alquiler_departamento_recoleta_callao-av-_1400,http://cf-thumbs.properati.com.ar/_tAyewjNZPCghA-1LyYo65dV-tI=/198x0/smart/www.amaira.com%2Fbuscador%2Fimagenes%2FLUI%2FLUI3297_2.jpg
2012-10-10,rent,apartment,Villa Ortuzar,|Argentina|Capital Federal|Villa Ortuzar|,3427387,"-34.581781,-58.46623",-34.581781,-58.46623,6000.0,ARS,5999.96,1121.91,78,14.383461538461539,1,3,,http://www.properati.com.ar/17gt_alquiler_departamento_villa-ortuzar_tronador_1000,http://cf-thumbs.properati.com.ar/b14XhXdM2B_NIe0GBjfccZ2-J0s=/198x0/smart/www.amaira.com%2Fbuscador%2Fimagenes%2FLUI%2FLU2471_10.jpg
2012-10-10,rent,apartment,Palermo,|Argentina|Capital Federal|Palermo|,3430234,"-34.577764,-58.403441",-34.577764,-58.403441,12500.0,ARS,12499.97,2337.32,86,27.178139534883723,3,3,$1500,http://www.properati.com.ar/1d0z_alquiler_departamento_palermo_figueroa-alcorta-pres-av-_3400,http://cf-thumbs.properati.com.ar/iRGEG7ee7uvKcj84m0beOqUKBEA=/198x0/smart/www.amaira.com%2Fbuscador%2Fimagenes%2FCAZ%2FCAZ546_2.jpg
2012-10-10,rent,apartment,Recoleta,|Argentina|Capital Federal|Recoleta|,3429595,"-34.59446,-58.384302",-34.59446,-58.384302,15000.0,ARS,14999.94,2804.78,156,17.979358974358977,9,4,$3000,http://www.properati.com.ar/1d6a_alquiler_departamento_recoleta_arenales_1200,http://cf-thumbs.properati.com.ar/fdJVwvNadI7aFiMfAUA-9AAoBOE=/198x0/smart/www.amaira.com%2Fbuscador%2Fimagenes%2FCAZ%2FCAZ472_2.jpg
2012-10-10,rent,apartment,Palermo,|Argentina|Capital Federal|Palermo|,3430234,"-34.577593,-58.428597",-34.577593,-58.428597,1500.0,USD,8021.99,1500.0,79,18.9873417721519,11,3,,http://www.properati.com.ar/1d6b_alquiler_departamento_palermo_santa-fe-av-_4900,http://cf-thumbs.properati.com.ar/r2stkNek3Yu9-H4W8xUusnmGry0=/198x0/smart/www.amaira.com%2Fbuscador%2Fimagenes%2FCAZ%2FCAZ482_2.jpg
2012-10-12,rent,apartment,Tigre,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Tigre|,,"","","",3300.0,ARS,3299.97,617.05,50,12.341,,2,,http://www.properati.com.ar/1fhq_alquiler_departamento_tigre__,http://cf-thumbs.properati.com.ar/nD07rzLB9_PouILGO39JAwJ5Fk4=/198x0/smart/www.amaira.com%2Fbuscador%2Fimagenes%2FBAU%2FBA4402_2.jpg
