created_on,operation,property_type,place_name,place_with_parent_names,geonames_id,lat-lon,lat,lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_in_m2,price_usd_per_m2,floor,rooms,expenses,properati_url,image_thumbnail
2013-09-06,rent,apartment,Belgrano,|Argentina|Capital Federal|Belgrano|,3436077,"-34.552484,-58.443011",-34.552484,-58.443011,8000.0,ARS,8080.26,1403.26,100,14.0326,,5,,http://www.properati.com.ar/9qh0_alquiler_departamento_belgrano,http://cf-thumbs.properati.com.ar/1jSC6qZEZ16N9lIw3-Qz9sdBkR8=/198x0/smart/filters:strip_icc()/www.inmokey.com%2Ffiles%2Fc-1206%2Fproperties%2F4%2F6%2Fp-57446-120913042237-482646.jpg
2013-09-06,rent,apartment,Belgrano,|Argentina|Capital Federal|Belgrano|,3436077,"-34.559249,-58.460436",-34.559249,-58.460436,2000.0,ARS,2020.03,350.81,40,8.77025,,2,,http://www.properati.com.ar/9qh1_alquiler_departamento_belgrano,http://cf-thumbs.properati.com.ar/1uhsKuZ2B28QBwuL1DYOubH4qwQ=/198x0/smart/filters:strip_icc()/www.inmokey.com%2Ffiles%2Fc-1206%2Fproperties%2F4%2F8%2Fp-57448-240913043749-439826.jpg
2013-09-06,rent,apartment,Belgrano,|Argentina|Capital Federal|Belgrano|,3436077,"-34.560592,-58.459406",-34.560592,-58.459406,2000.0,ARS,2020.03,350.81,30,11.693666666666667,,1,,http://www.properati.com.ar/9qh2_alquiler_departamento_belgrano,http://cf-thumbs.properati.com.ar/l4ZfBc4eHiPeTT5YjtUfcBcVwkk=/198x0/smart/filters:strip_icc()/www.inmokey.com%2Ffiles%2Fc-1206%2Fproperties%2F4%2F9%2Fp-57449-270913014235-855788.jpg
2013-09-06,rent,apartment,Belgrano,|Argentina|Capital Federal|Belgrano|,3436077,"-34.567871,-58.432926",-34.567871,-58.432926,2400.0,ARS,2424.03,420.97,40,10.52425,,1,,http://www.properati.com.ar/9qh3_alquiler_departamento_belgrano,
2013-09-06,rent,apartment,Villa Luro,|Argentina|Capital Federal|Villa Luro|,3427407,"-34.639625,-58.496873",-34.639625,-58.496873,3500.0,ARS,3535.08,613.92,100,6.1392,,4,,http://www.properati.com.ar/9qh4_alquiler_departamento_villa-luro,http://cf-thumbs.properati.com.ar/FgwKCZioQyNy65d7MdPz2qVu6dw=/198x0/smart/filters:strip_icc()/www.inmokey.com%2Ffiles%2Fc-1206%2Fproperties%2F5%2F2%2Fp-57452-120913040917-501849.jpg
2013-09-06,rent,house,San José,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|San José|,3428927,"-38.009115,-57.565041",-38.009115,-57.565041,4000.0,ARS,4040.13,701.63,,,,3,,http://www.properati.com.ar/9qh8_alquiler_casa_san-jose,http://cf-thumbs.properati.com.ar/NP9JPqJ3xcIp82wV0LtfG5gsYWI=/198x0/smart/filters:strip_icc()/www.inmokey.com%2Ffiles%2Fc-1365%2Fproperties%2F5%2F0%2Fp-57450-050913073230-769839.jpg
2013-09-06,rent,apartment,Oberá,|Argentina|Misiones|Oberá|,3430339,"-27.481983,-55.124281",-27.481983,-55.124281,,"","","",,,,2,,http://www.properati.com.ar/9qh9_alquiler_departamento_obera,http://cf-thumbs.properati.com.ar/cPzszjs67rdkqFTI9YxAqM5n6yQ=/198x0/smart/filters:strip_icc()/gestion.mapaprop.com%2Fimages%2Fphotos%2F1834%2F38854%2F250640.jpg
2013-09-06,rent,apartment,Pinamar,|Argentina|Buenos Aires Costa Atlántica|Pinamar|,3429971,"-37.113803,-56.859249",-37.113803,-56.859249,,"","","",,,,3,,http://www.properati.com.ar/9qha_alquiler_departamento_pinamar,http://cf-thumbs.properati.com.ar/MulFmY6Oa22l_lT5wy3D1D9E7z4=/198x0/smart/filters:strip_icc()/www.inmokey.com%2Ffiles%2Fc-1519%2Fproperties%2F2%2F8%2F28728fa1e45a7bc8d3d5be041df6962a.jpg
2013-09-06,rent,apartment,Pinamar,|Argentina|Buenos Aires Costa Atlántica|Pinamar|,3429971,"-37.114208,-56.860769",-37.114208,-56.860769,,"","","",,,,4,,http://www.properati.com.ar/9qhb_alquiler_departamento_pinamar,http://cf-thumbs.properati.com.ar/bwhutQcPGyhbcS_Ajp-XXlvD7Q0=/198x0/smart/filters:strip_icc()/www.inmokey.com%2Ffiles%2Fc-1519%2Fproperties%2F1%2F4%2F14a236d26690d2e465cec94c860fa5b0.jpg
2013-09-06,rent,house,Pinamar,|Argentina|Buenos Aires Costa Atlántica|Pinamar|,3429971,"-37.085543,-56.843037",-37.085543,-56.843037,,"","","",,,,4,,http://www.properati.com.ar/9qhc_alquiler_casa_pinamar,http://cf-thumbs.properati.com.ar/QhpDzwN_uBpmJFOgfmMnWTBk3So=/198x0/smart/filters:strip_icc()/www.inmokey.com%2Ffiles%2Fc-1519%2Fproperties%2F2%2F8%2Fp-57428-050913053344-562188.jpg
